comb_idx,OBSID,NCTETID,text,student_reasoning,annotator_comment
206_273,206,11029,But I still don't know how to divide and get the (Inaudible).,0.0,
624_196,624,14050,"Because these are not the vertices, we just [Inaudible]",1.0,
553_195,553,14016,Nine plus three equals three plus nine and A plus B equals B plus A.,1.0,
2917_86,2917,11063,I'm thinking it's two wholes [inaudible].,0.0,
155_88,155,13043,Do we do a right angle with arrows or the end points?,0.0,
453_5,453,11054,[Inaudible] a crate of 24 oranges [inaudible].  What fraction of the oranges will Ms. Lee get?,0.0,
2288_88,2288,13102,"Which fraction of the shape is covered by one trapezoid, two trapezoids and three trapezoids?",0.0,
195_370,195,14035,He said that we'll call it [inaudible] perimeter [inaudible].,0.0,
68_101,68,11031,"So with the way we solved the – how to get the answer, it – we [counted] this in 5’s, so we got 5 [times] 15 and then there’s – if you go like this, there’s two right here going down, so then we added 15 to 15 and it equals 30.  So we got 30 cubic units.",1.0,
124_15,124,11025,"The sides are on the opposite side, and the top is—",1.0,
715_69,715,14026,The mode is the number that occurs the most.,0.0,
982_184,982,13045,"That would be unlikely, because I have a sister [Inaudible]",1.0,
2109_227,2109,12048,"If someone needed to spell addition and subtraction and someone, they would -",0.0,
457_237,457,11060,"Because you were [Inaudible] from the top one up there, and then, like, you’re trying to teach us that if you find a 0.1, one number, it means [Inaudible].  If you find zero point – like, two numbers between, it’s a hundredth.",1.0,
230_128,230,11057,It’s between 440 and [inaudible].  Right there.,0.0,
514_47,514,14028,That’s what I put.  That’s the only difference.,0.0,
631_47,631,14033,Variable is a letter or symbol that stands for one or more numbers.,0.0,
4118_201,4118,14021,"I said 2 times 8.  They’re all over for some reason.  All right.  I think I’ve got them all.  Did you find it? How many sixteenths should you have?  16?  They’re really stuck in there, aren’t they?  You think it’s going to be 8?  8 and 8 is 16.  Are you missing one? Check your bag good.  I see one.  All right.  Go ahead.  Our prediction is – you might have more stuck in your bag.  The prediction was 8.  Try it and see what happens.  1, 2—",0.0,Teacher text in student column?
253_39,253,11058,Because the three and the six are going to make nine.,1.0,
577_384,577,11043,"Mr. Arthur, I want a good card.  [Inaudible]",0.0,
2963_72,2963,12036,Because it’s not broken up into hundredths.,1.0,
2644_68,2644,13081,It’s easy.  All you got to do is [inaudible].,0.0,
603_4,603,12008,"That's that saying, I'll do that when pigs fly.",0.0,
2540_122,2540,14011,Oh.  I didn't know how to do that.,0.0,
824_212,824,14035,"We have ’em six and four.  If we turn it that way, it’s two.",1.0,
4557_79,4557,14086,2 divided by one half equals 4 over 1.,1.0,
403_127,403,14081,"Because 5 and above, give a shove, 4 or less, let it rest.",0.0,
2708_72,2708,14070,It would have a 10 then a decimal and a zero.,0.0,
169_170,169,13030,So we do this one ourselves and then we write problems for our partners?,0.0,
537_388,537,11059,"Wait, wait, what do you mean 3, 3, 3.",0.0,
209_124,209,14086,"If the inside is 23, the outside’s probably 23 too.",0.0,
2154_35,2154,12056,A prime number has two or less factors.,0.0,
4205_184,4205,14116,Now you have to take one off of your threes [inaudible].  And do one sixth from the 14 and get 8.  [Inaudible].,0.0,
4032_167,4032,14118,I don’t know how to do this.,0.0,
1161_229,1161,13078,That y’all was on the same thing that y’all was doing.,0.0,
81_209,81,11016,Because I know that there’s six in each and I know that six times three equals 18.,1.0,
2218_5,2218,14122,You gotta go to the cafeteria and they have food.,0.0,
2682_20,2682,14116,In that the folder said the capacity was the amount of space that liquid takes up.,0.0,
1138_196,1138,14099,"If there's more people, there's still going to be a higher number.",1.0,
2628_403,2628,13071,"650, 750, 850 yeah. Forgot to put the numbers in the middle.",0.0,
915_116,915,14073,"Ms. M, how much [inaudible] a building just like this, like a regular building?",0.0,
224_30,224,14088,"No, one, two, three, four, five, six, seven, eight, nine, ten.",0.0,
4486_114,4486,14126,I thought decimal point was on that [inaudible].,0.0,
2671_23,2671,12017,You keep 6 and I'll keep 6.,0.0,
133_303,133,11012,And then I added 20.  And that got me to [484].  And I added 30 and that got me to 524.  And then ten.,0.0,
1087_1,1087,11051,"When you’re saying – when you’re talking about data, it’s mostly like a line chart or circle graph.",1.0,
2492_208,2492,14088,That's not how I write my fractions though so.,0.0,
2084_174,2084,14093,"There’s a slight thing that I need to work on.  When we carry, sometimes we need to cross it out of something, so we –",0.0,
624_278,624,14050,We’re trying to double it up so it’ll give it extra support. It doesn’t work.  Cracking.,0.0,
4240_222,4240,11003,One angle in this angle is 60 degrees.,0.0,
4259_61,4259,11058,Both have this.  They both have this but [inaudible].,1.0,
2626_187,2626,13095,"I solved for X [inaudible] I did 45 take away 45 and I got plus there, so I turned the 45 into 82 and I subtracted—",0.0,
1026_278,1026,13020,You got there by timesing 8 by [inaudible].,0.0,
910_602,910,14098,I know but for the whole class.  [Inaudible].,0.0,
177_134,177,14031,Multiply and then divide that answer by two?,0.0,
4265_12,4265,14042,Can we work on the floor or a table?,0.0,
168_231,168,13063,And needs to make her goal – goal by the end of the summer. What week will she make her goal?  Susan needs to reach her goal –,0.0,
4036_7,4036,14094,You put them all together and then multiply it to find the answer.,0.0,
4108_593,4108,11075,"5 times 10, 15.  You said 5 times 10, right?",0.0,
817_127,817,12042,"Smaller, but he put that down right after.",0.0,
627_52,627,14010,It’s like it’s a grown up party and the remainder is the baby.,0.0,
817_153,817,12042,[Inaudible] because one and seventy-nine – one whole and [inaudible].,1.0,
41_194,41,12001,I remember Student L’s answer was 46.,0.0,
4044_129,4044,14084,You don’t?  You just leave it there and make that a 10 and make all the other ones go up one?,0.0,
2987_1,2987,11054,I think it means that it may happen.,0.0,
2944_11,2944,12022,And I said that fractions have to do with -,0.0,
2273_98,2273,14104,"She said if you're on that part, you can come over here.",0.0,
561_116,561,11033,It would also get you to three-fourths.,1.0,
4663_144,4663,14136,[Inaudible].  It’s 150.  I worked it out.,0.0,
4470_247,4470,14030,"Because the coordinate – well, if it’s exactly on one line, it’s on the origin.  The origin is in the middle, so –",1.0,
68_9,68,11031,"I like the [Inaudible] that actually [Inaudible] we were putting them in the bottom of dimensions, the second layer, and we were adding up the four sides so then we can know how much to put on the first layer, so then we could [Inaudible] use the same number on the other layer and [Inaudible].",1.0,
2380_17,2380,14091,When we have the 5 and the 6 do we still divide the two numbers separately?,0.0,
4631_135,4631,11075,"Because Mr. Fried got one fourth, and 1 plus 3 equals 4.",1.0,
4734_259,4734,12015,"Yes, because there’s no one there.  Like, [inaudible] and you have a line.",1.0,
4153_105,4153,14008,"[Inaudible], variables and symbols, while arithmetic is usually using numbers and – I just put numbers.",0.0,
66_151,66,12017,It’s kind of like a little triangle –,0.0,
7_404,7,11050,I know that Alexander ate one-sixth of the pepperoni pizza and five –,0.0,
827_69,827,14029,"Cause from looking at the picture, you see that the picture is extended and then it goes out to the pints.",1.0,
892_50,892,14064,"Because it’s asking us to get the answer, it’s not telling us the answer in the problem, because if it was then it would be a different type of question.",0.0,
4760_863,4760,12014,But I [inaudible].  I [inaudible] all the numbers to 32.,0.0,
403_169,403,14081,It tells that 1 to stay the same.,0.0,
2658_54,2658,13102,"Last year we also did something like this, except it had three sides.  It was a triangle.",0.0,
2593_383,2593,11043,"If he chooses a big number and then the other one you carry that one and then that – if you add the one and the two, that equals three, so –",1.0,
24_28,24,11006,I have 16 boxes.  They each have three applies in them.  How many apples in all?,0.0,
2052_39,2052,14026,"Mine’s in another room, so I have to give it to you after.",0.0,
207_134,207,11030,"[Inaudible] ten equals one thousand, you divide a hundred by 10 and [inaudible].",0.0,
219_121,219,14101,That’s what I was trying to say.,0.0,
4757_13,4757,12019,How many tigers were seen at the zoo that day?,0.0,
2084_181,2084,14093,"4 times 3 equals 12.  So you put the 2 up above and you [inaudible].  Then you do 3 times 2, which is 6, plus 1 is 7 and put it down.",0.0,
4064_118,4064,14037,"Like, ten percent off of like, a shirt or something?",1.0,
76_361,76,11030,You’re gonna put seven tenths where the three fourths is.,0.0,
83_76,83,11060,"I came up with this idea.  What about some of the cubes over here, then put them right there, then put some of the cubes right here, and right there, and add them, and you're going to get [inaudible].",1.0,
4455_158,4455,14094,I put 40 but it’s actually 30.,0.0,
2722_89,2722,14080,"When I go least to greatest, I put the greatest, then go back—",0.0,
227_365,227,11048,The six is not supposed to be down.,0.0,
2147_8,2147,14062,"On number seven, three elevenths is just reduced to lowest terms?",0.0,
795_104,795,14050,The reason we do this is because we have the three topics.,0.0,
4026_50,4026,14112,Move the decimal place one place to the right.,0.0,
4734_78,4734,12015,The … the clock can be split into four pieces [inaudible].,0.0,
134_385,134,11050,"And I know it has two sides, two sides the same.  So I did six times eight two times.",1.0,
627_70,627,14010,Do we have to write it like you wrote it?,0.0,
3017_371,3017,12050,"Because there's wholes, and if you [inaudible], it's half.",1.0,
1029_194,1029,13062,I put 3 and 1 all the way—,0.0,
4688_24,4688,12002,Two of the sides are long and the bottom side [Inaudible].,0.0,
1162_81,1162,13016,"[inaudible] And, then I’m finished with the whole thing.",0.0,
336_542,336,14096,The free space might means that you take on here and cover it up.,0.0,
306_236,306,14092,We couldn’t see when you were working it out.,0.0,
36_125,36,12006,The – you’re pointing to [inaudible] on here.,0.0,
487_123,487,12014,Because when you get the two numbers [inaudible].,1.0,
2157_105,2157,14011,They have 105 extra photos for the photo album.  A page holds 4 photos.  How many extra pages will they need to buy?,0.0,
963_78,963,14059,I have my own way of solving it that my dad taught me.,0.0,
621_57,621,14069,"You could have used 250 divided by 1,000.",1.0,
836_476,836,14088,An expression is when you don’t have an equal’s sign and an equation is when you do.,0.0,
305_200,305,14061,"Only in multiplication you need to see how many places there are before it, but in addition you don’t have to do that.",0.0,
4087_80,4087,11040,It’s greater than 0.25 and 0.50.,1.0,
729_117,729,12015,"And I divided 60, divided by 4, because I took that number and then I divided 60 by 4.",0.0,
302_37,302,14074,You can make a half by doing 2/4.,0.0,
2304_411,2304,12054,"They’re divided by 2s?  Wait, 2s and 3s?",0.0,
2531_9,2531,11024,What if it’s like a problem that like let’s say if it was 11 times 11 how do you do it?,1.0,
1043_294,1043,12026,Is this real or is this only on paper?,0.0,
988_228,988,12013,"The sides all look the same, but the top is different.",1.0,
2490_116,2490,14075,"It’s 50 cents per ride, so two rides would be a dollar, so just count –",1.0,
2975_28,2975,12051,"I thought A was 2, B was 4, C was 6.  Then I said, to get to a whole number it would be 4.  Multiply it.  2, 4, 6, 8, 10.",1.0,
2132_260,2132,14105,"I added three-eighths plus six-eighths, and I got eleven- eighths.",0.0,
4034_204,4034,14116,"Um, well, I don’t think [inaudible] in groups of eight.  They didn’t put it –",1.0,
4666_311,4666,13097,"Uh, the parrot weighs four hundred seventy-five thousand, eighty-two hundredths.",0.0,
2629_372,2629,13022,What I mean by the next two numbers I did 4 times 10 –,0.0,
4245_274,4245,11070,Can you draw more than one line of symmetry?,1.0,
2075_275,2075,14074,"I did mine [inaudible], so it will be [inaudible].",0.0,
66_0,66,12017,Be able to tell what a fraction is.,0.0,There's no teacher text
147_219,147,12046,They had three cards left.  We had two cards left.,0.0,
4683_431,4683,14054,"Okay, Teacher K, we got 92 and a half.",0.0,
453_115,453,11054,I did it for my homework [inaudible] because the [inaudible].,0.0,
547_93,547,14095,Guess what?  My mom got her new job.  She's working on Monday.,0.0,
2987_183,2987,11054,I chose that under the impossible because it’s already discovered that the world’s already round and not flat.,1.0,
4198_62,4198,14098,Five. where [inaudible].  Nine.  Eight.  [Students quietly working on problem].  Who did word form?  Student S?,0.0,
2026_194,2026,14044,Because it occurs the most in this whole entire thing.,1.0,
2423_75,2423,11031,Three by four is just the dimensions of the area.  [Inaudible] that times twelve plus three.,1.0,
1138_187,1138,14099,"My prediction was wrong because you have to add a lot, but you have to divide.  If you have more throws, then you have to divide more.",1.0,
2395_266,2395,11075,At the top of every page had a one.,1.0,
1020_141,1020,12036,"We started with 7 and added 7 pennies a year, and there's 12 now.",0.0,
2768_99,2768,14126,"My train tracks, actually, have two sets of parallel lines.",0.0,
4429_115,4429,12040,"Great.  I got three different answers for A, B, C.",0.0,
938_15,938,12030,"A decimal is a number with – say, if you had an odd number and you wanted to cut it in half and you had one more number left, so that will be the decimal point because [Inaudible] the number and the half that was the decimal.",1.0,
2684_399,2684,11023,Can I go to the bathroom?  I feel like throwing up.,0.0,
16_390,16,11055,She broke the 28 into 14 and then she [inaudible].,0.0,
2178_188,2178,12032,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.",0.0,
851_235,851,12005,Do we have to make one like this or –,0.0,
4026_34,4026,14112,"Because it has the decimal point in the 3 – it has a decimal point before the 3.  It has a decimal point before the 8, but it has it in between, so you know when you divide it you’re going to have it after the decimal point.",1.0,
882_403,882,12024,This is gonna be easy.  I already have –,0.0,
2018_57,2018,14117,"When you said to just go two numbers after the decimal, and if you still have some left, just leave it, do you mean to just put it up there with the numbers?",0.0,
254_129,254,11051,"And then [inaudible] took away the 3, and then I added the 3 in two separate problems.  So then I know which one I'm doing. And then I added.  And then I did the actual problem in the old algorithm way to see which one [was right].",0.0,
4387_91,4387,14011,I think what he did was put the numerator as a whole and that’s how he got 60.,0.0,
4054_20,4054,14053,"- so I’m done with that.  So I went to four times three. Eight.  Is 32, so add three.  It gives me 35.",0.0,
893_241,893,14087,I don’t know where the page is.,0.0,
2126_72,2126,12042,"When you multiply a number by itself, the answer is the square number.",0.0,
4159_53,4159,14043,"He should have just timesed it by 2 because he would have gotten $101.28, because he divided by 4 and the opposite of dividing is multiplying.",1.0,
4104_55,4104,13015,"So we would know that – so you can know what it is, like [Inaudible].",0.0,
40_178,40,11019,"I think you have to make another box with 15 on top, and then make the 8 [inaudible] with 4.",0.0,
2850_392,2850,11033,"I want people to guess it, because [inaudible].",0.0,
3033_27,3033,13096,"– it might, it could, it probably would rain 'cause the clouds are dark.  That's kinda what it is.  Like you don't know for sure.  It's kind of like yes, like it's like the word probability is like certain, most likely, impossible, least likely.  Like if I had five [inaudible].  Three of them are blue.  No, four of them are blue and one of them is orange. And then what's the most likely I will pick is the blue ones.  But it's easy [inaudible].",1.0,
302_351,302,14074,My markers [inaudible] and all those fives were in a row.,0.0,
2406_207,2406,11032,"It equals 7 wholes, oh, oh, what, what?",0.0,
905_256,905,13043,[Inaudible].  I don’t want nobody in my – [Inaudible].,0.0,
230_18,230,11057,Yes.  We add the [inaudible] together that [inaudible].  It makes 100 and then what I guessed was –,0.0,
250_65,250,11053,Two thousand?  From one thousand and one thousand.,0.0,
78_153,78,11004,And then there's 6 in each fourth.,1.0,
1036_349,1036,13027,I don't know how to do this with two lines.,0.0,
2644_356,2644,13081,Do I got to put up round things?,0.0,
511_30,511,14003,"[Inaudible] and went down and belly flopped, that would have been a 90.",0.0,
1015_24,1015,14012,"No, I make my math notes are right here.  They’re in here.",0.0,
501_76,501,14013,[Inaudible] What steps do we need to solve?,0.0,
2585_237,2585,11067,"Because when I was going to do the answer, I put it back over there.",0.0,
2949_156,2949,12026,24 divided by 3 equals 8.  8 times 3 equals  24.   Subtract  it. It's 0.,0.0,
4723_239,4723,12046,I was … I [inaudible].  One half-gallon containers?,0.0,
2593_193,2593,11043,There was a little bit of room at the top.,0.0,
4081_188,4081,14011,"That there are three wholes, and you have the fourth pizza, and cut it into five, and you only ate one.",1.0,
353_160,353,14052,Trying to figure out how many millimeters are in a kilometer?,0.0,
4035_31,4035,14035,So it would almost be like the half because five you have to do five two times.,1.0,
209_259,209,14086,Do we put it on top of this?,0.0,
80_194,80,11029,"I know that this – I know how to make my own line because I know this was divided in to 10 and 15 doesn't go in to 10, but I know that it went there because 10 and 20 would be 15.  That would be like the halfway point.",1.0,
2191_50,2191,11003,"I basically did diagonal, 210, 219 and 228.  It’s counting down from 10, 9, 8, 7, 6, 5, 4, 3, 2, 1 to 291.  Then I put two in each column for 201.  So I basically did two in each row.",1.0,
109_64,109,11027,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10.",0.0,
4756_76,4756,12036,"No, we’re doing questions, like if you get the question right, it’s $200.00.",0.0,
134_393,134,11050,And then I multiplied that and it gave me 260 –,0.0,
1168_329,1168,13004,Shall we try to stuff it under or stuff it on the side or something just to do math?,0.0,
620_587,620,14092,Miss T if you miss two what do you get?,0.0,
4249_291,4249,11040,"A sentence.  A sentence to answer the question of how much does she have left to clean.  So she has one and twenty-five hundredths of a mile to clean, right?  So on your paper I should see she has … she has … one and twenty-five hundredths of a mile.  Of a mile, rather, to clean, okay? All right?  So what strategy did Student V use to solve the problem?  What is that strategy?  Yes, Student R?",0.0,Teacher text in student column?
1036_198,1036,13027,"Cause it's different, 'cause there's 1, 2, 3, 4, 5, 6, 7, 8.",1.0,
4429_111,4429,12040,"Student J told me that number one is 8,120.",1.0,
78_60,78,11004,Because there's only two in the fourth.  You just doubled it.,0.0,
622_368,622,14031,"Wait, yeah, 15 because it’s—like the green and the yellow is 25 so if you take off like a little bit of it—I don't know how to say it.",1.0,
25_21,25,11013,"You do times 2 for 4, times 2 for 1.",0.0,
574_171,574,11004,I think it would be like more even than odd.,1.0,
2430_328,2430,13101,"You’re suppose to do this.  I know you’re nervous, but [inaudible].",0.0,Teacher text in student column?
784_298,784,14056,"When I write the equation, do I write the variable?",0.0,
4244_495,4244,11033,- if it had two lines in the sides -,0.0,
2642_199,2642,11057,"Because [inaudible] out of a hundred [inaudible] by two, which means it will become [inaudible] percent.",1.0,
84_196,84,13082,How come we’re not supposed to do 1 through 8.,0.0,
4259_244,4259,11058,"Oh, this half could be A and this half could be B.",0.0,
1100_294,1100,13019,"What you said yesterday, when you have the three nines, then you move over.",0.0,
2467_299,2467,11023,I put the 200 on top and then I got 500.,0.0,
2116_60,2116,14029,"And added a [tower] right here, of one fifth, [inaudible] two fifths, and when I got to the three fifths, it was the exact same size as the light green.",1.0,
2172_59,2172,12010,"Oh, like you predict that [inaudible], you already know that's going to happen.",1.0,
795_61,795,14050,"It's at 50, and then it's going to go to 300.  The most is 280.",0.0,
2400_606,2400,12013,[Inaudible] paper [inaudible] in the middle of it.,0.0,
4690_87,4690,12016,Because a book is probably about half a pound depending and the bag with books in it is about a few pounds.,1.0,
337_265,337,14030,"When you're [inaudible] to count the object’s area can be a little bit confusing especially if you lose your place. When you do partitioning it’s easier for you to label a part on the circle’s [inaudible]  to get exact, immediate answer and just the estimated answer.",1.0,
66_294,66,12017,[Inaudible] you don’t have seven and nines.,0.0,
573_240,573,11047,And is this — I think two fifths is the bigger one.,1.0,
1018_279,1018,12040,I think it’s D because if it was B then it would’ve been a bit—it would’ve been just [Inaudible].,1.0,
1162_308,1162,13016,Isn’t the four pack for the 60 and the six-pack 55?,0.0,
4036_113,4036,14094,"I thought it was 75, and Student C got [inaudible].",0.0,
771_392,771,12038,So we finally got the right angle to write small Teacher.,0.0,
798_183,798,14007,Why do you have to do that for this part?  Can’t we just take the ruler and round things off?,0.0,
642_118,642,14061,"Like, it has two pairs of parallel sides or congruent sides.",1.0,
914_611,914,14096,It’s right there.  It’s where there’s one point in the –,0.0,
2800_517,2800,11009,I was doing it as I was going along.,0.0,
